Date,Open,High,Low,Close,Volume
26/12/2022,"141.25","148.85","141.25","147.45","182932"
27/12/2022,"149.40","149.80","146.50","148.00","112497"
28/12/2022,"147.15","149.30","146.55","147.70","123318"
29/12/2022,"147.00","151.25","144.20","150.20","183499"
30/12/2022,"150.85","151.90","149.25","150.10","231354"
02/01/2023,"150.05","155.95","150.00","155.40","159078"
03/01/2023,"156.85","157.70","152.80","154.30","235373"
04/01/2023,"154.30","155.25","147.10","148.20","159828"
05/01/2023,"149.85","149.90","147.00","149.30","108981"
06/01/2023,"150.15","150.25","144.15","145.25","115023"
09/01/2023,"147.00","147.25","145.20","146.60","86491"
10/01/2023,"146.45","146.70","142.40","143.35","119269"
11/01/2023,"143.65","147.80","142.75","147.00","112075"
12/01/2023,"148.75","148.75","145.50","146.00","97165"
13/01/2023,"147.55","149.50","146.00","148.95","81700"
16/01/2023,"149.00","150.40","147.20","147.65","100220"
17/01/2023,"146.35","147.75","144.45","146.80","124008"
18/01/2023,"149.90","149.90","146.20","148.05","56097"
19/01/2023,"147.95","148.40","146.40","147.65","33527"
20/01/2023,"147.70","148.75","145.00","145.60","83863"
23/01/2023,"145.65","147.20","144.85","145.85","94049"
24/01/2023,"145.25","146.30","143.30","144.10","117947"
25/01/2023,"144.60","144.60","139.40","139.70","105289"
27/01/2023,"137.05","139.45","133.95","135.70","226488"
30/01/2023,"133.85","138.50","133.25","136.10","169566"
31/01/2023,"136.10","141.60","135.65","141.05","111267"
01/02/2023,"141.25","143.25","133.75","135.80","151430"
02/02/2023,"136.40","140.40","134.95","138.30","107882"
03/02/2023,"142.80","142.85","137.95","141.65","249933"
06/02/2023,"140.55","146.70","140.55","145.80","143816"
07/02/2023,"145.95","147.15","144.00","145.55","160098"
08/02/2023,"145.05","149.30","143.65","148.40","159842"
09/02/2023,"147.55","148.75","145.35","147.15","173045"
10/02/2023,"146.85","148.20","146.05","146.60","116311"
13/02/2023,"146.65","147.55","142.75","144.00","63678"
14/02/2023,"143.90","144.85","141.90","144.35","94777"
15/02/2023,"144.40","146.60","143.90","145.35","59979"
16/02/2023,"145.00","147.80","145.00","146.25","150723"
17/02/2023,"146.00","146.25","142.50","143.90","68800"
20/02/2023,"143.95","145.90","143.60","144.30","59887"
21/02/2023,"143.10","143.85","142.10","143.05","84144"
22/02/2023,"142.05","143.10","138.65","139.05","105250"
23/02/2023,"139.20","140.80","137.00","139.05","79252"
24/02/2023,"140.50","143.30","140.20","142.15","78541"
27/02/2023,"141.40","142.50","140.05","141.80","107901"
28/02/2023,"142.30","146.80","141.25","145.65","203465"
01/03/2023,"145.95","152.60","145.50","152.15","258837"
02/03/2023,"152.20","153.90","150.60","152.20","249725"
03/03/2023,"152.35","155.45","152.35","154.45","203168"
06/03/2023,"154.60","156.85","153.90","156.20","109423"
08/03/2023,"156.10","158.80","155.00","157.95","158867"
09/03/2023,"158.15","159.35","156.15","156.50","98636"
10/03/2023,"155.05","156.05","152.70","153.70","122353"
13/03/2023,"152.75","154.85","146.70","147.00","545280"
